,City,Country,Lat,Lng,Hotel Name
356,esperance,AU,-33.87,121.9,Esperance Seafront Holiday Units
357,santa rosa,PH,17.49,120.43,
358,luangwa,ZM,-15.62,30.42,"Justfeeli Lodge, Luangwa"
359,berlevag,NO,70.86,29.09,Berlevåg camping & Appartement AS
360,oistins,BB,13.07,-59.53,Infinity On The Beach Hotel
361,margate,GB,51.38,1.39,Sands Hotel Margate
362,zabaykalsk,RU,49.63,117.32,
363,tual,ID,-5.67,132.75,Grand Vilia Hotel
364,gwadar,PK,25.12,62.33,Sadaf Resort
365,loja,EC,-3.99,-79.2,Sonesta Hotel Loja
366,lata,PT,40.16,-8.33,Quinta do Outeiro
367,santa cruz,PH,17.49,120.43,
368,sabang,ID,5.89,95.32,Freddies Santai Sumurtiga
369,faya,SA,18.39,42.45,
370,lai,TD,9.4,16.3,
371,rockwall,US,32.9,-96.4,Best Western Plus Rockwall Inn & Suites
372,olpad,IN,21.33,72.75,
373,nelson bay,NZ,-41.28,173.28,The Sails Nelson
374,kasongo,CD,-4.45,26.67,Kago Hotel
375,mehamn,NO,71.04,27.85,Mehamn Arctic Hotel AS
376,nizhniy tsasuchey,RU,45.39,39.24,
377,netarhat,IN,23.48,84.27,Naturehat Resorts
378,prince rupert,CA,52.97,-108.38,
379,akron,US,41.08,-81.52,Hilton Garden Inn Akron
380,rio gallegos,GR,38.3,21.78,Airotel Achaia Beach
381,vila,PT,42.03,-8.16,Hotel Castrum Villae
382,mount isa,GB,53.66,-1.85,Manor House Lindley
383,cabo san lucas,BR,-8.28,-35.03,Hotel Intercity Suape Costa Dourada
384,fort nelson,NL,52.65,6.39,Hotel Restaurant Ter Linde
385,villiers,ZA,-27.03,28.6,Villiers Touriste Hotel
386,srednekolymsk,RU,67.45,153.68,
387,lazaro cardenas,DO,19.46,-71.33,Hotel Marien
388,bac lieu,RS,45.39,19.24,Business Club Selenča
389,tandalti,SD,13.02,31.87,
390,hudson bay,US,40.72,-74.07,Arlo SoHo
391,chernyshevskiy,RU,63.01,112.47,
392,kahului,US,20.89,-156.47,Maui Beach Hotel
393,moron,AR,-34.65,-58.62,Hotel Cabildo
394,joshimath,IN,30.57,79.57,The Tattva Resort
395,bonfim,BR,3.08,-59.95,
396,deming,US,32.27,-107.76,La Quinta Inn & Suites by Wyndham Deming
397,kyaikto,MM,17.3,97.02,Thuwunna Bomi Mountain View Hotel & Resort
398,fort-shevchenko,KZ,44.51,50.26,Dostyk Hotel
399,adrar,MR,20.5,-10.07,
400,pangnirtung,CA,66.15,-65.71,Auyuittuq Lodge (Inns North)
401,lar gerd,IN,26.2,83.97,Rajkishor Hotel
402,venado tuerto,MX,22.93,-101.08,Suite Coronado
403,brest,BY,52.1,23.7,Hampton by Hilton Brest
404,ust-nera,RU,64.57,143.2,Gostevoy Dom
405,alekseyevsk,RU,57.84,108.35,
406,bjerkvik,NO,68.56,17.52,Bjerkvik Hotel
407,lavrentiya,RU,65.58,-171.0,
408,laguna,US,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
409,vygonichi,RU,53.1,34.07,
410,dicabisagan,PH,17.08,122.42,
411,dunedin,NZ,-45.87,170.5,Distinction Dunedin Hotel
412,pasni,PK,25.26,63.47,3G hotel pasni
413,impfondo,CG,1.64,18.07,
414,milos,GR,36.75,24.43,Olea Bay Hotel
415,kawalu,ID,-7.38,108.21,Hotel Taman Mangkubumi Indah
416,phuthaditjhaba,ZA,-28.52,28.82,Unathi Guest Lodge
417,zyryanka,RU,65.75,150.85,
418,ode,NG,7.79,5.71,
419,gayeri,BF,12.65,0.49,
420,kosjeric,RS,44.0,19.91,Etno selo Gostoljublje selo Mionica Kosjerić
421,sola,VU,-13.88,167.55,
422,khani,GE,41.96,42.96,Nino village
423,araouane,ML,18.9,-3.53,
424,jiuquan,CN,39.74,98.52,Green Tree Inn Jiuquan Century Plaza Hotel
425,vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
426,poum,NC,-20.23,164.02,
427,ovalle,CL,-30.6,-71.2,Ovalle Suite
428,baracoa,CU,20.35,-74.5,El Castillo
429,paamiut,GL,61.99,-49.67,Yeet Hotel
430,bartica,GY,6.4,-58.62,Palm Spring Hotel
431,opuwo,,-18.06,13.84,Opuwo Country Lodge
432,vilhena,BR,-12.74,-60.15,Hotel Mirage
433,malibu,US,34.01,-118.81,Malibu Country Inn
434,buraydah,SA,26.33,43.98,Mövenpick Hotel Qassim
435,yeppoon,AU,-23.13,150.73,Yeppoon Beach House
436,madisonville,US,37.33,-87.5,Hampton Inn & Suites Madisonville
437,shache,CN,38.42,77.24,Zheshang Hotel
438,ostersund,SE,63.18,14.64,Clarion Hotel Grand Östersund
439,mount gambier,GB,53.66,-1.85,Manor House Lindley
440,cam pha,AR,-38.98,-67.82,San Pier Hotel
441,kita,ML,13.03,-9.49,Hotel Nelson Mandela
442,benghazi,LY,32.12,20.07,فندق ترحاب
443,santa helena,PH,17.49,120.43,
444,saint-augustin,CA,51.23,-58.65,
445,varhaug,NO,58.61,5.65,Huset ved havet
446,sao jose da coroa grande,IN,20.51,76.21,Hotel Sai Residency
447,kot samaba,IN,28.33,77.17,Camp Wild Dhauj at Aravali Valley
448,cintalapa,MX,16.7,-93.73,Casa Blanca Hotel Hacienda
449,gouyave,GD,12.16,-61.73,Mount Edgecombe Plantation
450,kirkwall,GB,58.98,-2.96,Castaway Guesthouse
451,ventspils,LV,57.39,21.56,40saules
452,rockport,US,28.02,-97.05,Hunt's Castle Waterfront Resort
453,tianpeng,CN,30.99,103.94,Argyle Hotel Pengzhou
454,ust-shonosha,RU,61.15,41.34,
455,port lincoln,CD,-7.03,29.76,
456,orchard homes,CA,43.4,-79.79,Quality Suites Oakville
457,lakatoro,VU,-16.1,167.42,Malekula Holiday Villas
458,elko,US,41.0,-115.5,
459,omsukchan,RU,62.53,155.8,Restoran Zori
460,cerro largo,BR,-27.07,-48.71,
461,adre,TD,13.47,22.2,
462,san giorgio del sannio,ML,13.3,-4.9,Hôtel Teriya
463,montepuez,MZ,-13.13,39.0,RESIDÊNCIAL LANCHONETE
464,kovdor,RU,67.57,30.48,Uyut
465,khandyga,RU,62.67,135.6,"Gostinitsa ""Kak Doma"""
466,camacha,PT,33.08,-16.33,Hotel Porto Santo & Spa
467,sao joao da barra,IN,20.51,76.21,Hotel Sai Residency
468,hamilton,US,39.18,-84.53,Hampton Inn & Suites Cincinnati/Uptown-University Area
469,barra do bugres,BR,-11.09,-43.14,Hotel Canoas
470,atar,MR,20.52,-13.05,Odar kanawal
471,pauini,BR,-7.71,-66.98,Hotel Shekinah
472,cap malheureux,FR,49.27,-1.21,Logis Auberge Normande
473,pacific grove,US,38.48,-90.74,Holiday Inn Saint Louis West at Six Flags
474,natal,BR,-5.79,-35.21,Yak Beach Hotel
475,novoagansk,RU,61.94,76.66,
476,eureka,US,40.8,-124.16,Best Western Plus Bayshore Inn
477,nadadores,MX,27.05,-101.6,Hotel Villa Jardín
478,olga,RU,43.74,135.29,Gostinitsa Rosmorport.
